i,org_name,country,Address,website,phoneNo,language
4000,I.E.S. POETA PACO MOLLÁ,Spain,"Av. Reina Sofia, 21, 03610 Petrer, Alicante, Spain",iespacomolla.es,+34966957300,Spain
4001,Lake Michigan College,United States,"2755 E Napier Ave, Benton Harbor, MI 49022, United States",lakemichigancollege.edu,+1 269-927-1000,English
4002,The Academy Charter High School,United States,,,
4003,I.E.S. Julio Verne,Spain,"C. Estrella Proción, 10, 41015 Sevilla, Spain",iesjulioverne.es,+34 955 62 38 16,Spain
4004,Koforidua Technical University,Ghana,"3P8P+F5F, Koforidua-Nsutam Rd, Koforidua, Ghana",ktu.edu.gh,+233 34 202 4466,English
4005,CSL Consorzio Scuole Lavoro,Italy,"Via XX Settembre, 22, 10121 Torino TO, Italy",cslitalia.net,+39011538792
4006,Chinese Community Center,United States,"9800 Town Park Dr, Houston, TX 77036, United States",ccchouston.org,+1 713-271-6100
4007,Lermontov Regional Multidisciplinary College,Russia,"New Mehrauli Road, JNU Ring Rd, New Delhi, 110067",jnu.ac.in,01126742575,English
4008,Universidad Autónoma de Coahuila-Facultad de Sistemas Saltillo,Mexico,"Ciudad Universitaria, Fundadores Km 13, Zona Centro, 25350 Arteaga, Coah., Mexico",sistemas.uadec.mx,+52 844 689 1032
4009,"INDUSTRIAL TRAINING INSTITUTE, RANAVAV",India,"MR64+QJR, Bhod, Gujarat 360550",,
4010,Taconic High School,United States,"73 Co Rte 11A, Craryville, NY 12521, United States",taconichills.k12.ny.us,+1 518-325-2800
4011,State University of Telecommunications,Ukraine,"Solomianska St, 7, Kyiv, Ukraine, 03110",dut.edu.ua,+380442492591
4012,Capital Area Technical Center,United States,"7 Pierce Dr, Augusta, ME 04330, United States",capitalarea.mainecte.org,+1 207-626-2475,English
4013,SBW Neue Medien AG,Switzerland,"Hafenstrasse 46, 8590 Romanshorn, Switzerland",sbw-media.ch,+41 71 466 14 44
4014,NATIONAL OPEN UNIVERSITY OF NIGERIA,Nigeria,"93, Maidan Garhi Rd, Maidan Garhi, New Delhi, Delhi 110068",ignou.ac.in,011 2957 2513
4015,Eastland-Fairfield Satellite - New Albany HS,United States,,,
4016,Universidad de Ixtlahuaca CUI A.C.,Mexico,,,
4017,Comfamiliar Risaralda,Colombia,"Cra. 5 #21-30, Pereira, Risaralda, Colombia",uc.edu.co,+57 63172400
4018,仙台高等専門学校,Japan,"Japan, 〒981-1239 Miyagi, Natori, Medeshimashiote, Nodayama−４８−48 図書館",,
4019,Universidad Católica San Pablo,Peru,,,
4020,MoHE Alexandria University IT Club Faculty of Sport Education for Men,Egypt,,,
4021,Mevlana Üniversitesi,Turkey,"Ardıçlı Mah., Yeni İstanbul Cad. No:235, 42250 Selçuklu/Konya, Turkey",hurriyet.com.tr,+90 541 296 54 06
4022,Gimnazjum w Jozefinie,Poland,"96-321, Poland",,
4023,Miejski Zespół Szkół Nr 4 w Krośnie,Poland,,,
4024,Whatcom Community College,United States,"237 W Kellogg Rd, Bellingham, WA 98226, United States",whatcom.edu,+1 360-383-3000
4025,NTTF,India,"Survey No. 195- 2D1 & 2B2, Vikkramasi Village Katpadi to Gudiyatham main road Vaduganthangal Post, Taluk, Katpadi, Vellore, Tamil Nadu 632204",nttftrg.com,0416 224 4017,English
4026,Vas- és Villamosipari Szakképző Iskola és Gimnázium,Hungary,,,
4027,Robert Morris Univ,United States,,,
4028,SMK YAPPENDA - Network Engineering & Computer,Indonesia,,,
4029,Main School,Ukraine,"4th Floor, A-72, Street. No. 4, Madhu Vihar Market Main Rd, Patparganj, Delhi, 110092", ,
4030,"International Electronics and Technical Institute, Inc. Pasay",Philippines,"Pasay, Metro Manila, Philippines",,
4031,WITC Rice Lake,United States,,,
4032,Pôle Formation des Industries Technologiques Lorraine,France,,,
4033,Zespół Szkół Ponadgimnazjalnych nr 1,Poland,,,
4034,Senati Callao,Peru,"Av. Pedro Beltran 672, Ventanilla 07051, Peru",senati.edu.pe,+51 1 5532109
4035,Ist. Salesiano San Marco,Italy,,,
4036,Gloucester County Institute of Technology,United States,"1360 Tanyard Rd, Sewell, NJ 08080, United States",gcit.org,+1 856-468-1445,English
4037,Faculdade de Ciências e Tecnologia,Portugal,"Largo da Torre, 2829-516 Caparica, Portugal",fct.unl.pt,+351 21 294 8300,Portugal
4038,First Nations Health Authority,Canada,"61 Queen St, Sioux Lookout, ON P8T 1B8, Canada",slfnha.com,+1 807-737-1802
4039,GIATMARA Parit Sulong,Malaysia,"Kampung Baharu, 83500 Parit Sulong, Johor, Malaysia",m.facebook.com,
4040,Tumba Gymnasium,Sweden,"Utbildningsvägen 2, 147 40 Tumba, Sweden",tumbagymnasium.se,+46 8 530 610 00
4041,Hochschule Luzern - Informatik,Switzerland,"Campus Zug, Suurstoffi 1, 6343 Rotkreuz ZG, Switzerland",hslu.ch,+41417576811,Germany
4042,Fayette Local School District,United States,,,
4043,Universidad Manuela Beltran,Colombia,"Cra. 1 #No. 60-00, Bogotá, Colombia",umb.edu.co,+5715460600
4044,Christian Adolescent Foundation,Nigeria,"296,Ala Quarters, Nigeria",,+2347038267605
4045,CENATE. Regional Heredia,Costa Rica,"Avenue 14 1, Heredia Province, Heredia, 40103, Costa Rica", ,
4046,Independence High School,United States,"10555 Independence Pkwy, Frisco, TX 75035, United States",schools.friscoisd.org,+1 469-633-5400
4047,"INDUSTRIAL TRAINING INSTITUTE, VINCHHIYAA",India,,,
4048,Marneuli youth center,Georgia,,,
4049,Salesianos - Centro Don Bosco,Spain,"Pasaje Don Bosco,1 Urbanización Virgen del Milagro, 34190 Villamuriel de Cerrato, Palencia, Spain",centrodonbosco.es,+34 979 77 72 70
4050,I.E.S. Los Viveros,Spain,"Av. Blas Infante, 16, 41011 Sevilla, Spain",cpifplosviveros.es,+34 955 62 38 62
4051,ensate,Morocco,"P6MF+VPM, Route Ziaten, Tanger, Morocco",,
4052,Colegio Tecnico Profesional Guaycara,Costa Rica,"MWGJ+F5V, Puntarenas Province, Rio Claro, Costa Rica", ,
4053,Tikhoretsk School #6,Russia,,,
4054,Enaip Piemonte,Italy,"Via del Ridotto, 5, 10147 Torino TO, Italy",enaip.piemonte.it,+39 011 217 9700,English
4055,OpenClassrooms - IDF,France,,,
4056,Université Méthodiste au Katanga,Democratic Republic of the Congo,"6JFJ+57P, N1, Mulungwishi‎, Congo - Kinshasa", ,
4057,"INDUSTRIAL TRAINING INSTITUTE, THARAD",India,,,
4058,Instituto Tecnologico Superior de Panuco,Mexico,"Prol. Avenida Artículo Tercero Constitucion s/n, Solidaridad, 93998 Pánuco, Ver., Mexico",itspanuco.edu.mx,
4059,Berkshire Community College,United States,"1350 West St, Pittsfield, MA 01201, United States",berkshirecc.edu,+1 413-499-4660,English
4060,"Colegiul Tehnic Forestier, Ramnicu Valcea",Romania,"Calea lui Traian 195-197, Râmnicu Vâlcea 240273, Romania",colegiul-forestier.iplus.ro,+40 250 749 521,English
4061,Szkola Mistrzostwa Sportowego w Bielsku-Bialej,Poland,"Sikorskiego 4C, 43-300 Bielsko-Biała, Poland",,+48608068884
4062,Ecole Communautaire d'enseignement Supérieur (ECES),Republic of the Congo,"Q7R8+223, N2, Brazzaville, Congo - Brazzaville",,
4063,Mazoon College,Oman,"H7CP+G5W, Seeb, Oman", ,
4064,ASSOULINE,France,,,
4065,Technikum im. św. Józefa w Kaliszu,Poland,"Złota 144A, 62-800 Kalisz, Poland",technikum.kalisz.pl,+48 604 097 098,Poland
4066,Puskás Tivadar Távközlési Technikum Infokommunikációs Szakközépiskola,Hungary,,,
4067,Post and Telecom of Kosovo Center for Training and Development,Kosovo,,,
4068,Cascadia Technical Academy,United States,"12200 NE 28th St, Vancouver, WA 98682, United States",cascadiatechnicalacademy.org,
4069,Школа 1357,Russia,,,
4070,BSO,Germany,,,
4071,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO NARANJILLO,Peru,"P2R4+C57, Naranjillo 10140, Peru",isten.edu.pe,+51996983327,Spain
4072,I Liceum Ogólnokształcące im. gen. W. Sikorskiego,Poland,,,
4073,JingCheng Institute of Technology,China,"371, Block B, Chittaranjan Park, New Delhi, Delhi 110019",icsin.org,011 4056 4823
4074,Kit Sam Lam Bing Yim Secondary School,Hong Kong,"9 Fu Mei St, Wang Tau Hom, Hong Kong",kitsam.edu.hk,+85223379594,English
4075,Rice Lake High School,United States,"30 S Wisconsin Ave, Rice Lake, WI 54868, United States",rlhs.ricelake.k12.wi.us,+1 715-234-2181
4076,Győri Szolgáltatási SZC Deák Ferenc Közgazdasági Szakgimnáziuma,Hungary,"Győr, Bisinger József stny. 32, 9022 Hungary",deakgyor.hu,+3696312135
