Org,Country,URL,InDB?,LinkedIn,LinkedIn Job Count,Address,Phone number,Country,Language,Contact Form,Company Email Address,Domain Admin,Domain Technical,Team Member - Email,Other Link,Date,Person name
Staffordshire University,United Kingdom,,,,,,,,,,,,,,,,
Tecnologico de Estudios Superiores de Chalco,Mexico,,,,,,,,,,,,,,,,
EFET Fés,Morocco,,,,,,,,,,,,,,,,
Unika Atmajaya,Indonesia,,,,,,,,,,,,,,,,
Kaufmännische Berufsbildende Schulen Landkreis Grafschaft Bentheim,Germany,,,,,,,,,,,,,,,,
Запорізька гімназія №50,Ukraine,,,,,,,,,,,,,,,,
"Queen's College of Business, Technology, and Public Safety",Canada,,,,,,,,,,,,,,,,
Tokyo Metropolitan College of Industrial Technology,Japan,,,,,,,,,,,,,,,,
Ecole Supérieure de Technologie d'Oujda,Morocco,,,,,,,,,,,,,,,,
"Liceul Tehnologic ""Eremia Grigorescu""",Romania,,,,,,,,,,,,,,,,
Hochschule Fulda,Germany,,,,,,,,,,,,,,,,
shobra El-Khyma Library,Egypt,,,,,,,,,,,,,,,,
Ijebu Ode Grammar School,Nigeria,,,,,,,,,,,,,,,,
Consorzio ELIS,Italy,,,,,,,,,,,,,,,,
Universidad Politécnica de Chiapas,Mexico,,,,,,,,,,,,,,,,
Lycée Frédéric Chopin,France,,,,,,,,,,,,,,,,
I.I.S. Ferraris-Pacioli - Sede IPSIA,Italy,,,,,,,,,,,,,,,,
СПб ГУТ ITC,Russia,,,,,,,,,,,,,,,,
College of Chernivtsy National University,Ukraine,,,,,,,,,,,,,,,,
Ecoles d’officiers de l’Armée de l’air,France,,,,,,,,,,,,,,,,
MOE Yachad Modiin,Israel,,,,,,,,,,,,,,,,
Rostov-of-Don Professional School #5,Russia,,,,,,,,,,,,,,,,
Comnet College of Health Science and Arts,Zambia,,,,,,,,,,,,,,,,
Jeonju Kijeon College,South Korea,,,,,,,,,,,,,,,,
Zespol Szkol Nr 3 w Wiskitkach,Poland,,,,,,,,,,,,,,,,
Instituto de Educacion Media Superior de la Ciudad de México,Mexico,,,,,,,,,,,,,,,,
"University of Namibia, Faculty of Engineering & IT",Namibia,,,,,,,,,,,,,,,,
Nagy Lajos Gimnazium,Hungary,,,,,,,,,,,,,,,,
Universidad Politécnica de Apodaca,Mexico,,,,,,,,,,,,,,,,
Московский Технологический институт (филиал в г. Красноярск),Russia,,,,,,,,,,,,,,,,
BAPTIST GIRLS' COLLEGE,Nigeria,,,,,,,,,,,,,,,,
Politehnika Pula visoka tehničko-poslovna škola,Croatia,,,,,,,,,,,,,,,,
TECHNICAL UNIVERSTY OF KENYA,Kenya,,,,,,,,,,,,,,,,
Dalat University - IT Department,Vietnam,,,,,,,,,,,,,,,,
Badar Expo Solution Academy,Pakistan,,,,,,,,,,,,,,,,
FUT Minna Academy,Nigeria,,,,,,,,,,,,,,,,
Zaporizhzhia Educational Complex #41,Ukraine,,,,,,,,,,,,,,,,
"FSTM, University Hassan II, Casablanca",Morocco,,,,,,,,,,,,,,,,
静岡産業技術専門学校,Japan,,,,,,,,,,,,,,,,
Terras Dentro - Associação para o Desenvolvimento Integrado-Evora,Portugal,,,,,,,,,,,,,,,,
Escuela de Administración y Mercadotecnia del Quindio EAM,Colombia,,,,,,,,,,,,,,,,
Zespół Szkół Techniczno-Zawodowych im. inż. Czesława Nowaka w Radzyminie,Poland,,,,,,,,,,,,,,,,
Dongil Technical High School,South Korea,,,,,,,,,,,,,,,,
滁州学院,China,,,,,,,,,,,,,,,,
Akademie Harsfeld,Germany,,,,,,,,,,,,,,,,
Universidad José Cecilio del Valle - Campus Tegucigalpa,Honduras,,,,,,,,,,,,,,,,
MGSS ALUU,Nigeria,,,,,,,,,,,,,,,,
IES ALCÁNTARA,Spain,,,,,,,,,,,,,,,,
Universidad Autónoma del Estado de México Centro Universitario Zumpango,Mexico,,,,,,,,,,,,,,,,
CENTRO CULTURAL ANÁHUAC S.C.,Mexico,,,,,,,,,,,,,,,,
"Circolo ACLI ""Città del vento - Laboratorio sociale""",Italy,,,,,,,,,,,,,,,,
COE VietNam Technologies and Training JSC,Vietnam,,,,,,,,,,,,,,,,
Serik Teknik ve Endüstri Meslek Lisesi,Turkey,,,,,,,,,,,,,,,,
Lycee Bellepierre,Reunion,,,,,,,,,,,,,,,,
